name;area_genre;rating;dinner_rating;lunch_rating;dinner_budget;lunch_budget;table;pr
ジョニーエンジェル 新宿店;（東新宿 / バー・お酒（その他））;-;-;-;￥3,000～￥3,999;-;28席／個室なし／全面喫煙可;
一日;（東新宿 / レストラン（その他））;-;-;-;-;-;;
とんかつやまくら;（東新宿 / とんかつ）;3.27;3.25;3.02;￥1,000～￥1,999;￥1,000～￥1,999;18席／個室なし／全面喫煙可;
東横INN 新宿歌舞伎町;（東新宿 / 旅館・オーベルジュ（その他））;3.00;-;3.00;-; ～￥999;;
寿司茶屋桃太郎 新宿店;（西武新宿 / 寿司、和食（その他）、居酒屋）;3.06;3.06;-;￥5,000～￥5,999;-;106席／個室あり(6人可、8人可、10～20人可)／全面喫煙可;
ナポレオン;（東新宿 / 居酒屋）;-;-;-;-;-;;
マイラウンジ;（西武新宿 / ラウンジ）;-;-;-;-;-;;
ミスティックバー　ドクドク;（西武新宿 / バー）;-;-;-;-;-;;
山根商店;（東新宿 / もつ料理、串焼き、立ち飲み居酒屋・バー）;3.51;3.51;-;￥1,000～￥1,999;-;;
鳥修;（西武新宿 / 焼鳥、焼酎）;3.01;3.01;-;￥3,000～￥3,999; ～￥999;27席／個室なし／全面喫煙可;
楽園亭;（東新宿 / 韓国料理）;3.01;3.01;-;￥1,000～￥1,999;-;;
クッパヤ;（東新宿 / 韓国料理、焼肉、居酒屋）;3.02;3.00;3.02;￥2,000～￥2,999; ～￥999;45席／個室なし／全面喫煙可;
とらふぐ亭 新宿本店;（西武新宿 / ふぐ、鍋（その他）、和食（その他））;3.02;3.02;-;￥6,000～￥7,999;-;60席／個室あり(2人可、8人可、10～20人可)／全面喫煙可;
三浦屋;（東新宿 / ふぐ）;-;-;-;-;-;;
紋郎;（東新宿 / ラーメン、つけ麺、中華料理）;2.99;2.99;-;￥1,000～￥1,999; ～￥999;完全禁煙;
惣;（新宿三丁目 / 日本酒、割烹・小料理）;-;-;-;-;-;20席／個室なし／全面喫煙可;
かまじさー;（西武新宿 / 沖縄料理）;-;-;-;￥3,000～￥3,999;-;22席／個室なし／全面喫煙可;
居酒屋酒物語;（東新宿 / 焼鳥）;-;-;-;-;-;;
ホルモン道場じゅうじゅう 新宿店;（西武新宿 / ホルモン）;-;-;-;-;-;;
トマトカフェ;（東新宿 / カフェ）;-;-;-;-;-;70席;
三代目 白兵衛;（西武新宿 / ラーメン、つけ麺、居酒屋）;3.52;3.52;3.04;￥1,000～￥1,999; ～￥999;28席／個室なし／全面喫煙可;
三田;（東新宿 / 懐石・会席料理、割烹・小料理）;-;-;-;-;-;;
天丼てんや 新宿イーストサイドスクエア店;（東新宿 / 天丼・天重、天ぷら、居酒屋）;3.03;3.02;3.02; ～￥999; ～￥999;完全禁煙;
焼肉 門 ホルモン;（東新宿 / ホルモン）;2.99;-;-;￥4,000～￥4,999; ～￥999;50席／全面喫煙可;
ジェイアンドジェイダイニング;（西武新宿 / 韓国料理）;-;-;-;￥3,000～￥3,999;-;個室なし／全面喫煙可;
道しるべ;（西武新宿 / 焼鳥）;3.54;3.54;-;￥3,000～￥3,999;￥2,000～￥2,999;20席／個室なし／全面喫煙可;
チキンホリック;（新大久保 / 韓国料理、韓国鍋、居酒屋）;3.00;-;3.00;￥2,000～￥2,999; ～￥999;70席／個室あり(6人可、8人可、10～20人可、20～30人可)／全面喫煙可;
韓国DINNING味韓;（東新宿 / 韓国料理、レストラン（その他））;-;-;-;￥1,000～￥1,999;￥1,000～￥1,999;40席;
海雲台;（西武新宿 / 韓国料理）;-;-;-;￥4,000～￥4,999;-;;
台湾料理 亜門;（東新宿 / 台湾料理）;-;-;-;-;-;;
サンサール 新宿店;（東新宿 / ネパール料理、インド料理、インドカレー）;3.60;3.58;3.54;￥1,000～￥1,999; ～￥999;30席／個室なし／完全禁煙;
ポヨ;（新宿三丁目 / ワインバー、焼鳥）;-;-;-;￥3,000～￥3,999;-;7席／個室なし／全面喫煙可;
金太郎;（東新宿 / もつ鍋、居酒屋）;3.06;3.07;3.00;￥2,000～￥2,999; ～￥999;32席／個室なし／全面喫煙可;
黒猫;（東新宿 / バー）;-;-;-;-;-;;
やきとり酒場;（東新宿 / 焼鳥）;-;-;-;￥3,000～￥3,999;-;;
どげんよ;（東新宿 / 鳥料理、居酒屋）;-;-;-;￥4,000～￥4,999;-;20席／個室あり(4人可)／全面喫煙可;
シミュレーションゴルフバー　ダボ屋 新宿;（東新宿 / バー）;-;-;-;￥2,000～￥2,999;-;20席／個室なし／全面喫煙可;
昭和ＢＡＲ;（東新宿 / バー、バー・お酒（その他）、喫茶店）;-;-;-;￥3,000～￥3,999;-;15席／個室なし／全面喫煙可;
元気プラス 新宿店;（東新宿 / 韓国料理）;-;-;-; ～￥999;￥1,000～￥1,999;;
台湾屋台料理 天使;（西武新宿 / 台湾料理、中国鍋・火鍋）;-;-;-;-;-;個室なし／全面喫煙可;
わ羅治;（新宿三丁目 / 居酒屋）;-;-;-;-;-;;
タイ料理レストラン　ジンラック;（東新宿 / タイ料理、ラウンジ、タイカレー）;3.26;3.26;-;￥1,000～￥1,999;-;30席／個室なし／全面喫煙可;
海鮮工房吟;（西武新宿 / 魚介料理・海鮮料理）;3.10;3.10;-;￥6,000～￥7,999;-;27席／全面喫煙可;
いきなりステーキ 大久保店;（東新宿 / ステーキ）;3.06;3.10;2.99;￥2,000～￥2,999;￥1,000～￥1,999;完全禁煙;
ビューティバー・ラック;（東新宿 / バー）;-;-;-;-;-;;
WaBar;（西武新宿 / バー）;-;-;-;-;-;36席／個室なし／全面喫煙可;
竹千代;（西武新宿 / バー）;3.00;3.00;-;￥2,000～￥2,999;-;4席／個室なし／全面喫煙可;
タリーズコーヒー 新宿イ-ストサイドスクエアアトリウム店;（東新宿 / カフェ、コーヒー専門店）;3.00;-;3.00;-; ～￥999;26席;
Bar　恒城;（新宿三丁目 / バー、ダイニングバー、バー・お酒（その他））;-;-;-;￥2,000～￥2,999;-;15席／個室なし／全面喫煙可;
眞一館 新宿本店;（西武新宿 / 焼肉、韓国料理）;3.51;3.51;-;￥8,000～￥9,999;-;80席／個室あり／全面喫煙可;
釜めし　華 歌舞伎町;（東新宿 / 釜飯、居酒屋、焼鳥）;3.06;3.07;3.00;￥1,000～￥1,999; ～￥999;30席／全面喫煙可;
とんちゃん 新宿本店;（東新宿 / 韓国料理、焼肉、豚料理）;3.33;3.33;3.01;￥2,000～￥2,999;-;55席／個室なし／全面喫煙可;
シネストーク;（新宿三丁目 / バー）;3.01;3.01;-;￥3,000～￥3,999;-;9席／個室なし／全面喫煙可;
笠置そば 東新宿店;（東新宿 / そば）;2.98;-;2.98;-; ～￥999;15席;
カフェ ナード 新宿店;（東新宿 / カフェ、パン）;3.01;3.01;3.00; ～￥999; ～￥999;分煙;
すし居酒屋　アルプス;（西武新宿 / 居酒屋）;2.97;2.97;-;￥2,000～￥2,999;-;個室なし／全面喫煙可;
ケービーシー;（東新宿 / バー）;-;-;-;-;-;;
東京ガーデン;（東新宿 / 韓国料理）;-;-;-;-;-;;
韓国家庭料理　新洞;（東新宿 / 韓国料理）;3.06;3.06;-;￥4,000～￥4,999;-;32席／個室なし／全面喫煙可;
知床漁火 新宿店;（東新宿 / 居酒屋、鳥料理、バイキング）;2.99;3.00;2.99;￥2,000～￥2,999; ～￥999;50席／全面喫煙可;
石焼ビビンパ工房;（東新宿 / 韓国料理）;-;-;-;-;-;;
プレイヤーズカフェ;（東新宿 / イタリアン）;-;-;-;-;-;50席／個室あり／全面喫煙可;
カンゲキノヨカン;（東新宿 / スポーツバー、居酒屋・ダイニングバー（その他））;-;-;-;￥3,000～￥3,999;-;31席／個室なし／全面喫煙可;
ラ・バゲット;（東新宿 / パン）;3.57;3.28;3.55; ～￥999; ～￥999;;
家庭料理たむら;（新大久保 / レストラン（その他））;-;-;-;-;-;;
中ちゃん;（新宿三丁目 / 居酒屋）;-;-;-;-;-;;
バービーカフェ;（東新宿 / カフェ、ケーキ、バー）;-;-;-;-; ～￥999;個室なし;
サブウェイ 新宿文化センター通り店;（東新宿 / サンドイッチ、カフェ）;3.02;3.00;3.02; ～￥999; ～￥999;;
上海小吃;（西武新宿 / 上海料理、四川料理、中華料理）;3.59;3.59;-;￥3,000～￥3,999;-;50席／個室あり(10～20人可、20～30人可、30人以上可)／全面喫煙可;
デラセーラ;（西武新宿 / イタリアン、ダイニングバー、居酒屋）;-;-;-;￥3,000～￥3,999;-;60席／個室あり(10～20人可)／全面喫煙可;
コーヒープリンス 1号店;（新大久保 / カフェ）;3.25;3.10;3.19; ～￥999; ～￥999;分煙;
新宿 三浦屋;（東新宿 / ふぐ）;3.34;3.33;3.02;￥10,000～￥14,999;-;100席／個室あり(2人可、4人可、6人可、10～20人可)／全面喫煙可;
BAR裏面;（新宿三丁目 / バー）;-;-;-;￥3,000～￥3,999;-;12席／個室なし／全面喫煙可;
呑苦楽;（西武新宿 / 焼鳥）;-;-;-;-;-;;
若鯱家 新宿イーストサイドスクエア店;（東新宿 / カレーうどん、郷土料理（その他）、居酒屋）;3.03;3.06;3.00; ～￥999; ～￥999;全面喫煙可;
Bee 新宿歌舞伎町店;（東新宿 / パブ）;-;-;-;-;-;30席／個室なし／全面喫煙可;
学校へ行こう;（東新宿 / 韓国料理、韓国鍋）;3.01;3.01;-;￥3,000～￥3,999;-;60席／個室なし／分煙;
和み屋;（西武新宿 / レストラン（その他））;-;-;-;￥3,000～￥3,999;-;;
ひまわり;（東新宿 / タイ料理、喫茶店、タイカレー）;3.19;3.19;3.03;￥1,000～￥1,999; ～￥999;全面喫煙可;
フレッシュネスバーガー 新宿6丁目店;（東新宿 / ハンバーガー、カフェ、喫茶店）;3.01;3.01;3.01; ～￥999; ～￥999;43席／個室なし／分煙;
夕張;（東新宿 / 割烹・小料理、郷土料理（その他））;-;-;-;-;-;30席／個室なし／全面喫煙可;
TARA;（東新宿 / インド料理、ネパール料理、インドカレー）;3.31;3.28;3.24;￥2,000～￥2,999;￥1,000～￥1,999;21席／個室なし／分煙;
きくち;（新大久保 / 居酒屋）;-;-;-;-;-;;
くるくる;（東新宿 / 韓国料理）;-;-;-;-;-;;
MORI屋 新宿歌舞伎町店;（東新宿 / 居酒屋、鳥料理）;3.01;3.01;-;￥3,000～￥3,999;-;全面喫煙可;
フェスティナ・レンテ;（新大久保 / ダイニングバー、カフェ）;3.02;-;3.02;-;￥1,000～￥1,999;;
ひよこ 新宿;（東新宿 / 和食（その他））;-;-;-;-;-;8席;
餃子専科Lee 新宿本店;（東新宿 / 餃子、中華料理）;3.13;3.17;3.00;￥1,000～￥1,999; ～￥999;全面喫煙可;
ニハマル弁当 新大久保店;（東新宿 / 弁当、かつ丼・かつ重、丼もの（その他））;3.00;3.00;3.01; ～￥999; ～￥999;個室なし／完全禁煙;
モカ;（東新宿 / 喫茶店）;-;-;-; ～￥999;-;;
ソルナムヤ 勝龍らーめん;（東新宿 / ラーメン）;-;-;-;-; ～￥999;;
ビッグバン;（西武新宿 / ダイニングバー、バー、創作料理）;-;-;-;￥2,000～￥2,999;-;30席／個室あり／全面喫煙可;
豚　豚　豚;（東新宿 / 韓国料理）;-;-;-;-;-;;
おむすび権米衛 新宿イーストサイドスクエア店;（東新宿 / おにぎり、弁当）;3.00;3.00;3.01; ～￥999; ～￥999;20席／個室なし／完全禁煙;
マリエール;（東新宿 / 喫茶店）;3.00;-;3.00;-; ～￥999;;
えぷろん;（西武新宿 / 割烹・小料理、バー、その他）;-;-;-;￥3,000～￥3,999;-;10席／個室なし／全面喫煙可;
華鳥;（新宿三丁目 / 焼鳥、串焼き、鳥料理）;3.11;3.11;-;￥5,000～￥5,999;-;30席／個室あり(2人可、4人可、6人可、8人可)／全面喫煙可;
アラジン;（東新宿 / インドカレー、ネパール料理、バイキング）;3.24;3.09;3.16;￥1,000～￥1,999; ～￥999;29席／個室なし／分煙;
築地市場 298;（東新宿 / 居酒屋、バイキング）;2.99;-;-;￥1,000～￥1,999; ～￥999;60席;
